feature_index,parcel_id,current_address,dcad_situs_address,centroid_lat,centroid_lng,category,reason,status,action
248,180998000B0250000,473 LEISURE LN,,32.97161,-97.000932,OK,,OK,NONE
249,180998000A0560000,452 LEISURE LN,,32.971346,-97.001818,OK,,OK,NONE
250,180998000A0160000,208 LEISURE LN,,32.971376,-97.00061,OK,,OK,NONE
251,180998000A0570000,456 LEISURE LN,,32.971388,-97.001642,OK,,OK,NONE
252,180998000A0390000,344 LEISURE LN,,32.972945,-97.001924,OK,,OK,NONE
253,180998000A0380000,340 LEISURE LN,,32.973073,-97.00178,OK,,OK,NONE
254,180998000A0370000,336 LEISURE LN,,32.973071,-97.00165,OK,,OK,NONE
255,180998000A0360000,332 LEISURE LN,,32.97307,-97.001519,OK,,OK,NONE
256,180998000A0350000,328 LEISURE LN,,32.973068,-97.001389,OK,,OK,NONE
257,180998000A0340000,324 LEISURE LN,,32.973066,-97.001259,OK,,OK,NONE
258,180998000A0330000,320 LEISURE LN,,32.973065,-97.001128,OK,,OK,NONE
259,180998000A0320000,316 LEISURE LN,,32.973063,-97.000998,OK,,OK,NONE
260,180998000A0310000,312 LEISURE LN,,32.972933,-97.000827,OK,,OK,NONE
261,180998000A0300000,308 LEISURE LN,,32.972937,-97.000724,OK,,OK,NONE
262,180998000A0400000,348 LEISURE LN,,32.973009,-97.002103,OK,,OK,NONE
263,188700000A0030000,1050 W SANDY LAKE RD,,32.973693,-97.025728,OK,,OK,NONE
264,180998000A0290000,304 LEISURE LN,,32.973055,-97.000435,OK,,OK,NONE
265,180998000A0410000,352 LEISURE LN,,32.973062,-97.0023,OK,,OK,NONE
266,180998000A0280000,300 LEISURE LN,,32.972768,-97.00045,OK,,OK,NONE
267,180998000A0420000,356 LEISURE LN,,32.972772,-97.002289,OK,,OK,NONE
268,180998000B0120000,329 LEISURE LN,,32.972666,-97.001347,OK,,OK,NONE
269,180998000B0130000,325 LEISURE LN,,32.972664,-97.0012,OK,,OK,NONE
270,180998000B0140000,321 LEISURE LN,,32.972662,-97.001053,OK,,OK,NONE
271,180998000B0100000,401 LEISURE LN,,32.97268,-97.001812,OK,,OK,NONE
272,180998000B0090000,405 LEISURE LN,,32.972575,-97.001749,OK,,OK,NONE
273,180998000A0260000,248 LEISURE LN,,32.972496,-97.000447,OK,,OK,NONE
274,180998000A0270000,252 LEISURE LN,,32.972633,-97.000367,OK,,OK,NONE
275,180998000A0430000,400 LEISURE LN,,32.972639,-97.00238,OK,,OK,NONE
276,180998000A0440000,404 LEISURE LN,,32.972499,-97.002304,OK,,OK,NONE
277,180998000B0110000,333 LEISURE LN,,32.972564,-97.00152,OK,,OK,NONE
278,180998000B0150000,317 LEISURE LN,,32.97261,-97.000901,OK,,OK,NONE
279,180998000B0080000,409 LEISURE LN,,32.972465,-97.001751,OK,,OK,NONE
280,180998000B0170000,506 LEISURE CT,,32.97224,-97.001061,OK,,OK,NONE
281,180998000A0250000,244 LEISURE LN,,32.972386,-97.000449,OK,,OK,NONE
282,180998000A0450000,408 LEISURE LN,,32.972389,-97.002306,OK,,OK,NONE
283,180998000B0070000,413 LEISURE LN,,32.972355,-97.001753,OK,,OK,NONE
284,180998000A0240000,240 LEISURE LN,,32.972276,-97.000451,OK,,OK,NONE
285,180998000A0460000,412 LEISURE LN,,32.972279,-97.002308,OK,,OK,NONE
286,180998000B0060000,417 LEISURE LN,,32.972245,-97.001755,OK,,OK,NONE
287,180998000A0230000,236 LEISURE LN,,32.972166,-97.000454,OK,,OK,NONE
288,180998000A0470000,416 LEISURE LN,,32.972169,-97.00231,OK,,OK,NONE
289,180998000B0160000,502 LEISURE LN,,32.972354,-97.000917,OK,,OK,NONE
290,180998000B0050000,421 LEISURE LN,,32.972135,-97.001757,OK,,OK,NONE
291,180998000B0200000,518 LEISURE CT,,32.972121,-97.00132,OK,,OK,NONE
292,180998000A0220000,232 LEISURE LN,,32.972056,-97.000456,OK,,OK,NONE
293,180998000A0480000,420 LEISURE LN,,32.972059,-97.002312,OK,,OK,NONE
294,180998000B0040000,425 LEISURE LN,,32.972025,-97.001759,OK,,OK,NONE
295,180998000B0210000,515 LEISURE CT,,32.971931,-97.00146,OK,,OK,NONE
296,180998000A0210000,228 LEISURE LN,,32.971946,-97.000458,OK,,OK,NONE
297,180001100B0030000,569 INDIAN ROCK DR,,32.97218,-96.975761,OK,,OK,NONE
298,180998000A0490000,424 LEISURE LN,,32.971949,-97.002314,OK,,OK,NONE
299,180998000B0020000,433 LEISURE LN,,32.971806,-97.001763,OK,,OK,NONE
300,180998000A0190000,220 LEISURE LN,,32.971726,-97.000462,OK,,OK,NONE
301,180998000A0510000,432 LEISURE LN,,32.97173,-97.002318,OK,,OK,NONE
302,180998000B0240000,503 LEISURE CT,,32.971928,-97.000925,OK,,OK,NONE
303,180998000B0010000,437 LEISURE LN,,32.971664,-97.001751,OK,,OK,NONE
304,180998000B0280000,461 LEISURE LN,,32.971635,-97.001332,OK,,OK,NONE
305,180998000B0270000,465 LEISURE LN,,32.971577,-97.001213,OK,,OK,NONE
306,180998000B0260000,469 LEISURE LN,,32.971533,-97.001083,OK,,OK,NONE
307,180998000A0180000,216 LEISURE LN,,32.971616,-97.000465,OK,,OK,NONE
308,180998000A0520000,436 LEISURE LN,,32.9716,-97.002166,OK,,OK,NONE
309,180998000A0170000,212 LEISURE LN,,32.97147,-97.00062,OK,,OK,NONE
310,180998000A0540000,444 LEISURE LN,,32.971308,-97.002245,OK,,OK,NONE
311,180998000A0550000,448 LEISURE LN,,32.971424,-97.001965,OK,,OK,NONE
312,180998000A0150000,204 LEISURE LN,,32.971163,-97.000481,OK,,OK,NONE
313,180998000A0130000,148 SUMMER PLACE DR,,32.971273,-97.001185,OK,,OK,NONE
314,180998000A0120000,144 SUMMER PLACE DR,,32.971141,-97.001207,OK,,OK,NONE
315,180998000A0580000,462 LEISURE LN,,32.9713,-97.001515,OK,,OK,NONE
316,180998000A0140000,200 LEISURE LN,,32.971174,-97.00082,OK,,OK,NONE
317,180998000A0110000,140 SUMMER PLACE DR,,32.971027,-97.001136,OK,,OK,NONE
318,180998000A0590000,141 SUMMER PLACE DR,,32.971106,-97.001741,OK,,OK,NONE
319,180998000A0600000,137 SUMMER PLACE DR,,32.970937,-97.001678,OK,,OK,NONE
320,180998000A0100000,136 SUMMER PLACE DR,,32.970917,-97.001138,OK,,OK,NONE
321,180998000A0610000,133 SUMMER PLACE DR,,32.970827,-97.00168,OK,,OK,NONE
322,180998000A0090000,132 SUMMER PLACE DR,,32.970807,-97.00114,OK,,OK,NONE
323,180998000A0620000,129 SUMMER PLACE DR,,32.970717,-97.001682,OK,,OK,NONE
